Source,InspectionCode,LegacyItemNumber,CurrentDisplayLabel,ExtractedDataField,ValueExpression,ComparisonRule,PromptKeyProposal,PromptMatchNotes,RiskLevel,Notes
EC,IER/HER,1.3,Energy Star,EnergyStarProgram or IECCVersion,"EnergyStarProgram ?? IECCVersion",TextMatch,"iecc code OR energy star","If prompt says IECC code, display either Energy Star or IECC 2015 plainly, not label plus value.",High,"Current item-number mapping has already drifted on some IER files."
EC,IER/HER,1.4,IECC Code,EnergyStarProgram or IECCVersion year,"EnergyStarProgram ? Energy Star : IECCVersion year",TextMatch,"iecc code OR code OR energy star","Do not show on prompts like Other plans on site.",High,"This caused the IECC Code: 2015 chip on Other plans on site."
EC,IER/HER,2.1,Type,Performance path,"Performance IECC",TextMatch,"performance path OR prescriptive OR performance iecc","Derived constant when EC report exists.",Medium,"Prompt should confirm this is a path/type item."
EC,IER/HER,2.2,U-factor,WindowUFactor,WindowUFactor,ExactOrClose,"u-factor OR window u","Must match design spec closely.",Medium,"Useful candidate for prompt-based mapping."
EC,IER/HER,2.3,SHGC,WindowSHGC,WindowSHGC,ExactOrClose,"shgc","Must match design spec closely.",Medium,"Useful candidate for prompt-based mapping."
EC,IER/HER,3.2,Sloped Ceiling,SlopedCeilingR,SlopedCeilingR,AtLeast,"sloped ceiling r-value OR sloped ceiling insulation","Actual R-value must be greater than or equal to EC value.",Medium,"Prompt-based lookup should prevent renumbering drift."
EC,IER/HER,3.3,Wall,WallR,WallR,AtLeast,"wood frame wall r-value OR wall r-value","Actual R-value must be greater than or equal to EC value.",Medium,"Recently fixed numeric parsing for Wall: R13."
EC,IER/HER,8.1,Supply Duct,SupplyDuctR,SupplyDuctR,AtLeast,"supply duct r-value OR supply duct insulation","Actual R-value must be greater than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,IER/HER,8.2,Return Duct,ReturnDuctR,ReturnDuctR,AtLeast,"return duct r-value OR return duct insulation","Actual R-value must be greater than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,IER/HER,9.1,Pipe,HotWaterPipeR,HotWaterPipeR,AtLeast,"hot water pipe r-value OR pipe insulation","Actual R-value must be greater than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,IER/HER,10.2,Floor Area,ConditionedFloorArea,ConditionedFloorArea,ExactOrClose,"conditioned floor area OR floor area","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,IER/HER,11.1,Duct Leakage,DuctLeakageMaxCfm,DuctLeakageMaxCfm,AtMost,"duct leakage OR duct blaster OR leakage cfm","Actual CFM must be less than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,IER/HER,12.1,Attic Wall,AtticWallR,AtticWallR,AtLeast,"attic wall r-value OR attic wall insulation","Actual R-value must be greater than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,HET,1.1,Duct Leakage,DuctLeakageMaxCfm,DuctLeakageMaxCfm,AtMost,"duct leakage OR duct leakage cfm","Actual CFM must be less than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,HET,1.3,Blower Door,BlowerDoorMaxCfm,BlowerDoorMaxCfm,AtMost,"blower door OR infiltration OR ach50 OR cfm50","Actual CFM must be less than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,HET,1.4,Floor Area,ConditionedFloorArea,ConditionedFloorArea,ExactOrClose,"conditioned floor area OR floor area","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,HET,1.5,Volume,ConditionedVolume,ConditionedVolume,ExactOrClose,"conditioned volume OR volume","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,HET,1.6,Fresh Air,TargetFreshAirCfm,TargetFreshAirCfm,AtLeast,"fresh air OR ventilation cfm","Actual CFM must be greater than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,HET,1.7,Run Time,TargetRunTime,TargetRunTime,TextMatch,"run time OR runtime OR ventilation time","Loose text match.",Medium,"Prompt-based lookup recommended."
EC,HET,3.1,Returns,NumberOfReturns,NumberOfReturns,ExactOrClose,"number of returns OR returns","Must match EC value closely.",Medium,"Prompt-based lookup recommended."
EC,HET,5.6,Fan Watts,VentFanWatts,VentFanWatts,AtMost,"fan watts OR ventilation fan watts","Actual watts must be less than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,IEF/HEF,3.4,WH Fuel,WaterHeaterFuel,WaterHeaterFuel,TextMatch,"water heater fuel OR wh fuel","Loose text match.",Medium,"Prompt-based lookup recommended."
EC,IEF/HEF,3.5,WH Capacity,WaterHeaterCapacity,WaterHeaterCapacity,TextMatch,"water heater capacity OR tankless OR gallon","Loose text match.",Medium,"Prompt-based lookup recommended."
EC,IEF/HEF,4.2,SEER,HvacCoolingSeer,HvacCoolingSeer,AtLeast,"seer OR seer2 OR cooling efficiency","Actual SEER must be greater than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,IEF/HEF,8.2,Attic Ceiling,AtticCeilingR,AtticCeilingR,AtLeast,"attic ceiling r-value OR ceiling r-value","Actual R-value must be greater than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,IEF/HEF,10.8,Floor Area,ConditionedFloorArea,ConditionedFloorArea,ExactOrClose,"conditioned floor area OR floor area","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,IEF/HEF,10.9,Volume,ConditionedVolume,ConditionedVolume,ExactOrClose,"conditioned volume OR volume","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,IEF/HEF,10.11,Bedrooms,NumberOfBedrooms,NumberOfBedrooms,ExactOrClose,"number of bedrooms OR bedrooms","Older IEF form.",High,"Duplicate mapping with 10.13 exists because forms vary."
EC,IEF/HEF,10.13,Bedrooms,NumberOfBedrooms,NumberOfBedrooms,ExactOrClose,"number of bedrooms OR bedrooms","Newer IEF form.",High,"Duplicate mapping with 10.11 exists because forms vary."
EC,IEF/HEF,11.1,Blower Door,EffectiveBlowerDoorCfm,"BlowerDoorMaxCfm ?? derived volume * 5 / 60",AtMost,"blower door OR infiltration OR cfm50","Actual CFM must be less than or equal to EC/derived value.",Medium,"Newer IEF variant."
EC,IEF/HEF,11.16,Duct Leakage,EffectiveDuctLeakageCfm,"DuctLeakageMaxCfm ?? derived floor area * 0.04",AtMost,"duct leakage OR duct leakage cfm","Actual CFM must be less than or equal to EC/derived value.",Medium,"Newer IEF variant."
EC,IEF/HEF,12.5,Fresh Air,TargetFreshAirCfm,TargetFreshAirCfm,AtLeast,"fresh air OR ventilation cfm","Actual CFM must be greater than or equal to EC value.",Medium,"Prompt-based lookup recommended."
EC,AFI,1.4,Returns,NumberOfReturns,NumberOfReturns,ExactOrClose,"number of returns OR returns","Must match EC value closely.",Medium,"Prompt-based lookup recommended."
EC,AFI,1.5,Floor Area,ConditionedFloorArea,ConditionedFloorArea,ExactOrClose,"conditioned floor area OR floor area","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,AFI,2.1,Design Airflow,DesignAirflowCfm,DesignAirflowCfm,ExactOrClose,"design airflow OR airflow cfm","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,AFI,2.5,Design Airflow,DesignAirflowCfm,DesignAirflowCfm,ExactOrClose,"design airflow OR airflow cfm","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,AFI,3.1,Design Airflow,DesignAirflowCfm,DesignAirflowCfm,ExactOrClose,"design airflow OR airflow cfm","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,AFI,3.9,Design Airflow,DesignAirflowCfm,DesignAirflowCfm,ExactOrClose,"design airflow OR airflow cfm","Must match EC value within tolerance.",Medium,"Prompt-based lookup recommended."
EC,PLY,2.1,Type,Performance path,"Performance IECC",TextMatch,"performance path OR prescriptive OR performance iecc","Derived constant when EC report exists.",Medium,"Prompt should confirm this is a path/type item."
EC,ACI,2.1,Type,Performance path,"Performance IECC",TextMatch,"performance path OR prescriptive OR performance iecc","Derived constant when EC report exists.",Medium,"Prompt should confirm this is a path/type item."
EC,PS,2.1,Type,Performance path,"Performance IECC",TextMatch,"performance path OR prescriptive OR performance iecc","Derived constant when EC report exists.",Medium,"Prompt should confirm this is a path/type item."
Foundation/Slab,CPP,2.0,Foundation,FoundationType,"CableCount > 0 ? Post Tensioned : Conventionally Reinforced",TextMatch,"foundation type OR post tensioned OR conventionally reinforced","Inferred from cable count presence.",High,"Needs prompt-based confirmation because section/item numbers can drift."
Foundation/Slab,CPP,5.1.b,Plan total cable count,CableCount,"Displayed as Plan total; compares F2B + S2S",ExactSum,"front to back quantity OR cable quantity","F2B plus S2S must equal plan total.",High,"Current mapping uses item numbers 5.1.b and 5.1.c."
Foundation/Slab,CPP,5.1.c,Plan total cable count,CableCount,"Displayed as Plan total; compares F2B + S2S",ExactSum,"side to side quantity OR cable quantity","F2B plus S2S must equal plan total.",High,"Current mapping uses item numbers 5.1.b and 5.1.c."
Foundation/Slab,CPP,8.2,TOF-BOB,BeamDepthInches,BeamDepthInches,AtLeast,"top of form to bottom of beam OR tof-bob","Actual beam depth must be greater than or equal to plan minimum.",High,"Corner beam depth item."
Foundation/Slab,CPP,8.5,TOF-BOB,BeamDepthInches,BeamDepthInches,AtLeast,"top of form to bottom of beam OR tof-bob","Actual beam depth must be greater than or equal to plan minimum.",High,"Corner beam depth item."
Foundation/Slab,CPP,8.8,TOF-BOB,BeamDepthInches,BeamDepthInches,AtLeast,"top of form to bottom of beam OR tof-bob","Actual beam depth must be greater than or equal to plan minimum.",High,"Corner beam depth item."
Foundation/Slab,CPP,8.11,TOF-BOB,BeamDepthInches,BeamDepthInches,AtLeast,"top of form to bottom of beam OR tof-bob","Actual beam depth must be greater than or equal to plan minimum.",High,"Corner beam depth item."
Foundation/Slab,CPP,8.3,Beam W,BeamWidthInches,BeamWidthInches,AtLeastWithMax18,"beam width","Actual beam width must be at least plan minimum and no more than 18 inches.",High,"Prompt-based matching should distinguish beam width from beam depth."
Foundation/Slab,CPP,8.6,Beam W,BeamWidthInches,BeamWidthInches,AtLeastWithMax18,"beam width","Actual beam width must be at least plan minimum and no more than 18 inches.",High,"Prompt-based matching should distinguish beam width from beam depth."
Foundation/Slab,CPP,8.9,Beam W,BeamWidthInches,BeamWidthInches,AtLeastWithMax18,"beam width","Actual beam width must be at least plan minimum and no more than 18 inches.",High,"Prompt-based matching should distinguish beam width from beam depth."
Foundation/Slab,CPP,8.12,Beam W,BeamWidthInches,BeamWidthInches,AtLeastWithMax18,"beam width","Actual beam width must be at least plan minimum and no more than 18 inches.",High,"Prompt-based matching should distinguish beam width from beam depth."
Foundation/Slab,CPP,8.14,Beam W,BeamWidthInches,BeamWidthInches,AtLeastWithMax18,"beam width","Actual beam width must be at least plan minimum and no more than 18 inches.",High,"Prompt-based matching should distinguish beam width from beam depth."
Foundation/Slab,CPP,8.17,Beam W,BeamWidthInches,BeamWidthInches,AtLeastWithMax18,"beam width","Actual beam width must be at least plan minimum and no more than 18 inches.",High,"Prompt-based matching should distinguish beam width from beam depth."
Foundation/Slab,CPP,8.20,Beam W,BeamWidthInches,BeamWidthInches,AtLeastWithMax18,"beam width","Actual beam width must be at least plan minimum and no more than 18 inches.",High,"Prompt-based matching should distinguish beam width from beam depth."
Foundation/Slab,CPP,8.23,Beam W,BeamWidthInches,BeamWidthInches,AtLeastWithMax18,"beam width","Actual beam width must be at least plan minimum and no more than 18 inches.",High,"Prompt-based matching should distinguish beam width from beam depth."
